subdir,file name,test class,timing (seconds),res (true/false)
high,map_2,Pos,0.66,F
high,flip_twice_1,Pos,0.66,T
high,fact_exn,Pos,0.53,T
high,inc,Pos,0.59,T
high,intro3,Pos,0.39,T
high,neg1,Pos,0.44,F
high,repeat_order,Pos,0.48,T
high,intro-ord2,Pos,0.4,T
high,foldr,Pos,0.8,T
high,sum_cps,Pos,0.38,T
high,sigma_sum,Pos,0.47,T
high,apply_twice,Pos,0.43,F
high,intro-ord3,Pos,0.56,T
high,intro2,Pos,0.35,T
high,repeat4,Pos,0.37,T
high,hors,Pos,0.41,T
high,repeat,Pos,0.42,T
high,intro1,Pos,0.33,T
high,app-lin-ord3,Pos,0.5,T
high,foldl,Pos,0.65,T
high,hrec,Pos,0.43,T
high,app-nonrec,Pos,0.32,T
high,app-lin-ord2,Pos,0.46,T
high,max,Pos,0.49,T
high,apply,Pos,0.43,T
high,twice,Pos,0.35,T
high,neg2,Pos,0.41,F
high,exception,Pos,0.31,T
high,power,Pos,0.57,T
high,mixed_id,Pos,0.4,T
high,app-succ,Pos,0.71,T
high,call_back,Pos,0.37,T
high,flip_twice_2,Pos,0.56,F
high,exc-fact,Pos,0.45,T
high,multi_compose,Pos,0.61,F
high,recursive,Pos,0.38,T
high,mc91_cps,Pos,0.48,F
high,exc-simple,Pos,0.33,T
array,a-copy-print,Pos,0.94,T
array,a-split,Pos,1.45,T
array,a-dropn,Pos,1.96,F
array,a-sub,Pos,1.71,T
array,bcopy,Pos,0.86,T
array,a-init1,Pos,0.73,F
array,a-map,Pos,1.02,T
array,a-iter,Pos,0.55,T
array,a-dotprod,Pos,0.12,ER
array,a-reverse,Pos,0.6,T
array,a-mapi,Pos,1.09,T
array,a-init2,Pos,0.59,F
array,a-append,Pos,1.25,F
first,inductive6-2,Pos,0.41,T
first,mc91_99,Pos,0.4,F
first,enc-rev_append-2,Pos,0.52,T
first,gib2,Pos,0.76,T
first,enc-zip3,Pos,0.46,T
first,substring2,Pos,0.72,T
first,half,Pos,0.63,F
first,mult,Pos,0.42,T
first,sum4,Pos,0.44,F
first,fxx,Pos,0.35,T
first,nested_loop,Pos,1.1,F
first,map,Pos,0.37,T
first,enc-zipmap,Pos,0.48,T
first,mc91_98,Pos,0.41,F
first,enc-zip_map2,Pos,0.53,T
first,inductive6,Pos,0.34,T
first,copy_intro,Pos,0.36,T
first,pldi082_unbounded1,Pos,0.97,F
first,inductivea,Pos,0.63,T
first,eq,Pos,2.05,T
first,flow,Pos,0.31,T
first,inductive2,Pos,0.37,T
first,inductive1-3,Pos,0.54,T
first,inductive3,Pos,0.33,T
first,enc-zip_map,Pos,0.53,T
first,inductive1-2,Pos,0.49,T
first,gulwani_cegar1,Pos,0.65,F
first,xyz2,Pos,0.66,F
first,xy10,Pos,0.59,T
first,01_ic3,Pos,0.41,T
first,hanoi,Pos,1.13,F
first,addition,Pos,0.52,T
first,sum,Pos,0.38,T
first,up_down_stair,Pos,0.83,T
first,up2,Pos,0.83,T
first,inductive1-1,Pos,0.52,T
first,mc91_95,Pos,0.42,F
first,inductive4,Pos,0.38,T
first,lock,Pos,0.46,T
first,mc91,Pos,0.41,F
first,xyz,Pos,0.63,F
first,enc-rev_accum,Pos,0.41,T
first,inductive5,Pos,0.43,T
first,seq-len,Pos,1.57,F
first,inductive3-2,Pos,0.43,T
first,pldi082_unbounded2,Pos,0.72,T
first,file,Pos,0.14,ER
first,xy4,Pos,0.47,F
first,sum_intro,Pos,0.4,T
first,odd_even,Pos,0.37,F
first,is_prime,Pos,0.67,T
first,for_bounded_loop1,Pos,0.6,T
first,map_map,Pos,0.35,T
first,xy0,Pos,0.4,T
first,prog2,Pos,0.39,T
first,sum3,Pos,0.39,F
first,fib,Pos,0.4,T
first,svd,Pos,3.36,T
first,ack,Pos,0.59,T
first,enc-zip,Pos,0.46,T
first,gcd,Pos,0.69,T
first,sum6,Pos,0.32,F
first,enc-zip4,Pos,0.45,T
first,recHanoi03,Pos,0.36,T
first,enc-rev_append-1,Pos,0.47,T
first,sum2,Pos,0.38,F
first,gib,Pos,0.7,T
first,mult_twice,Pos,0.47,T
first,seq-len1,Pos,1.53,F
first,substring1,Pos,0.67,T
negative,zip00,Neg,2.32,T
negative,indirectHO01,Neg,2.91,T
negative,xyz2,Neg,0.61,T
negative,xy10,Neg,0.46,T
negative,01_ic3,Neg,0.36,T
negative,ex23,Neg,0.62,T
negative,inductive1-1,Neg,0.52,T
negative,repeat,Neg,0.39,T
negative,ack01false,Neg,0.64,T
negative,xyz,Neg,0.64,T
negative,zip_unzip,Neg,0.83,T
negative,xy4,Neg,0.41,T
negative,compose,Neg,0.38,T
negative,up_down01,Neg,1.3,ER
negative,binomial00,Neg,1.75,T
